Vehicle Class,Coverage,Renew Offer Type,EmploymentStatus,Marital Status,Education,Number of Policies,Monthly Premium Auto,Total Claim Amount,Income,Customer Lifetime Value
Four-Door Car,Basic,Offer4,Employed,Married,College,3.0,67.0,321.6,28447.0,5259.709581
Four-Door Car,Extended,Offer1,Employed,Married,Master,1.0,88.0,55.510526,58557.0,3554.845264
Four-Door Car,Premium,Offer1,Employed,Married,Doctor,6.0,114.0,547.2,73759.0,9102.902307
Four-Door Car,Extended,Offer1,Employed,Divorced,High School or Below,4.0,88.0,128.292466,46298.0,6503.219978
Four-Door Car,Basic,Offer1,Unemployed,Single,High School or Below,2.0,70.0,712.619939,0.0,14837.50253
SUV,Basic,Offer1,Employed,Single,High School or Below,7.0,113.0,528.20086,52583.0,8879.790017
Four-Door Car,Basic,Offer2,Medical Leave,Married,College,1.0,71.0,398.502948,17576.0,2722.210707
Four-Door Car,Premium,Offer3,Employed,Married,Bachelor,5.0,116.0,79.340118,85942.0,9114.276632
Four-Door Car,Basic,Offer1,Employed,Single,College,5.0,70.0,336.0,79027.0,5511.491102
Four-Door Car,Extended,Offer2,Employed,Married,Bachelor,1.0,92.0,441.6,59016.0,3690.698916
SUV,Basic,Offer1,Unemployed,Single,High School or Below,4.0,109.0,523.2,0.0,7974.390276
SUV,Basic,Offer2,Employed,Married,College,2.0,118.0,612.300581,28432.0,13869.92705
SUV,Extended,Offer1,Unemployed,Married,High School or Below,9.0,131.0,628.8,0.0,9657.579498
Four-Door Car,Basic,Offer4,Employed,Married,Master,1.0,66.0,206.818326,41958.0,2602.650842
Four-Door Car,Basic,Offer4,Unemployed,Married,Doctor,1.0,67.0,146.301396,0.0,2525.419695
Four-Door Car,Extended,Offer3,Employed,Married,Bachelor,2.0,84.0,403.2,37534.0,13223.04379
Four-Door Car,Basic,Offer1,Employed,Divorced,High School or Below,2.0,71.0,340.8,48315.0,8404.395122
Sports Car,Extended,Offer2,Unemployed,Single,Bachelor,3.0,131.0,628.8,0.0,9103.700091
Four-Door Car,Extended,Offer2,Employed,Divorced,High School or Below,3.0,76.0,547.2,57693.0,5979.724161
Luxury SUV,Basic,Offer1,Unemployed,Single,High School or Below,2.0,187.0,1430.336183,0.0,20552.62128
Four-Door Car,Basic,Offer1,Employed,Single,College,1.0,61.0,278.804991,47455.0,2375.001798
SUV,Basic,Offer1,Unemployed,Single,High School or Below,1.0,106.0,763.2,0.0,3788.814643
SUV,Premium,Offer3,Employed,Married,Bachelor,1.0,186.0,892.8,34161.0,7180.270931
Four-Door Car,Extended,Offer2,Retired,Divorced,Bachelor,1.0,78.0,374.4,23376.0,2867.312197
Four-Door Car,Basic,Offer1,Unemployed,Divorced,Master,7.0,68.0,689.282166,0.0,4890.1093
SUV,Extended,Offer1,Employed,Married,High School or Below,3.0,124.0,595.2,34831.0,9935.165983
Four-Door Car,Basic,Offer1,Employed,Married,College,5.0,72.0,293.86579,31320.0,5785.223477
Four-Door Car,Basic,Offer2,Unemployed,Married,Bachelor,1.0,66.0,433.160284,0.0,2396.219292
Four-Door Car,Basic,Offer4,Medical Leave,Married,Bachelor,1.0,74.0,355.2,13610.0,2827.43885
Luxury Car,Extended,Offer2,Employed,Married,Master,5.0,229.0,737.737825,91268.0,18504.2801
SUV,Extended,Offer4,Employed,Married,College,1.0,127.0,664.280864,29095.0,5067.208338
Four-Door Car,Basic,Offer1,Unemployed,Married,High School or Below,2.0,68.0,326.4,0.0,14944.83656
SUV,Basic,Offer1,Unemployed,Single,High School or Below,8.0,111.0,799.2,0.0,7630.346461
Four-Door Car,Basic,Offer3,Unemployed,Married,High School or Below,2.0,67.0,482.4,0.0,20455.24946
Four-Door Car,Basic,Offer1,Disabled,Married,Bachelor,3.0,67.0,321.6,22594.0,5146.80976
Two-Door Car,Extended,Offer2,Employed,Married,Bachelor,8.0,84.0,72.32926,39428.0,6727.617003
Four-Door Car,Basic,Offer2,Employed,Married,College,2.0,74.0,355.2,41463.0,17569.15979
Luxury Car,Premium,Offer3,Unemployed,Single,High School or Below,1.0,256.0,1943.772393,0.0,9095.744565
Four-Door Car,Basic,Offer2,Medical Leave,Single,College,9.0,63.0,302.4,22571.0,4605.036646
Luxury Car,Extended,Offer2,Unemployed,Single,College,4.0,238.0,1142.4,0.0,16793.9728
SUV,Basic,Offer1,Unemployed,Single,Bachelor,3.0,102.0,1178.995926,0.0,7517.083811
Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,3.0,65.0,288.572108,35625.0,5107.163002
SUV,Premium,Offer4,Employed,Married,College,3.0,196.0,940.8,81119.0,15785.29692
Two-Door Car,Basic,Offer1,Employed,Single,College,1.0,71.0,266.52482,88009.0,2798.679988
Sports Car,Basic,Offer3,Employed,Married,College,7.0,107.0,50.473675,91147.0,8563.968057
Four-Door Car,Basic,Offer1,Employed,Married,Bachelor,7.0,74.0,128.21198,43440.0,5906.940238
Four-Door Car,Premium,Offer1,Disabled,Married,College,3.0,107.0,425.964628,12876.0,7572.237727
SUV,Premium,Offer3,Unemployed,Married,College,2.0,158.0,758.4,0.0,17288.55405
Two-Door Car,Extended,Offer1,Unemployed,Single,Bachelor,7.0,97.0,609.046345,0.0,5098.854489
SUV,Premium,Offer2,Unemployed,Married,College,3.0,161.0,1052.933035,0.0,11490.33618
Two-Door Car,Basic,Offer3,Unemployed,Single,High School or Below,2.0,61.0,366.604732,0.0,19278.81715
Four-Door Car,Extended,Offer1,Disabled,Divorced,High School or Below,2.0,86.0,412.8,20132.0,8763.449964
Four-Door Car,Basic,Offer1,Disabled,Divorced,Master,3.0,65.0,312.0,22886.0,5096.673223
Four-Door Car,Basic,Offer4,Employed,Married,College,1.0,63.0,365.002909,37811.0,2530.810167
Luxury SUV,Basic,Offer2,Employed,Married,High School or Below,7.0,196.0,1961.162049,24661.0,15483.52986
Four-Door Car,Basic,Offer1,Unemployed,Married,Bachelor,3.0,65.0,366.212945,0.0,4762.823136
SUV,Premium,Offer2,Unemployed,Single,High School or Below,2.0,173.0,1245.6,0.0,18853.73945
Four-Door Car,Extended,Offer1,Employed,Single,Bachelor,1.0,83.0,269.406119,56869.0,3061.052283
Two-Door Car,Basic,Offer1,Employed,Single,College,2.0,65.0,189.971267,86481.0,23295.06014
Four-Door Car,Extended,Offer1,Unemployed,Single,High School or Below,2.0,78.0,732.340362,0.0,8390.122077
SUV,Premium,Offer2,Unemployed,Married,High School or Below,1.0,153.0,1027.000029,0.0,5619.689084
Four-Door Car,Basic,Offer1,Employed,Married,Doctor,6.0,68.0,62.837764,85018.0,5423.136755
Two-Door Car,Basic,Offer2,Employed,Married,College,1.0,72.0,7.214579,77748.0,2885.002508
Two-Door Car,Basic,Offer1,Unemployed,Single,College,3.0,68.0,722.877299,0.0,4650.68277
Four-Door Car,Basic,Offer1,Unemployed,Married,Bachelor,5.0,73.0,350.4,0.0,5504.139033
SUV,Basic,Offer2,Employed,Married,High School or Below,3.0,108.0,369.818708,64125.0,8646.504109
Sports Car,Extended,Offer1,Employed,Married,College,1.0,138.0,662.4,33255.0,5553.18672
Four-Door Car,Extended,Offer1,Employed,Married,Bachelor,7.0,80.0,305.544034,47622.0,6301.102478
SUV,Extended,Offer2,Employed,Married,Bachelor,1.0,138.0,702.990032,54507.0,5470.060561
Two-Door Car,Basic,Offer2,Employed,Divorced,Bachelor,4.0,71.0,315.560161,39469.0,5641.35916
SUV,Basic,Offer3,Employed,Married,High School or Below,2.0,104.0,366.978793,42148.0,16504.96173
Two-Door Car,Extended,Offer2,Employed,Married,Bachelor,9.0,96.0,460.8,96748.0,7725.535708
Four-Door Car,Extended,Offer2,Employed,Married,College,2.0,84.0,450.996589,58194.0,10049.28585
Four-Door Car,Basic,Offer1,Medical Leave,Married,College,2.0,72.0,345.6,22070.0,24660.48825
Two-Door Car,Extended,Offer1,Unemployed,Divorced,High School or Below,2.0,97.0,465.6,0.0,10759.40004
SUV,Basic,Offer1,Medical Leave,Married,High School or Below,2.0,110.0,528.0,12607.0,12516.92188
Two-Door Car,Extended,Offer3,Unemployed,Single,High School or Below,6.0,94.0,676.8,0.0,6291.589959
Four-Door Car,Basic,Offer4,Disabled,Married,High School or Below,2.0,64.0,455.191595,22249.0,17041.4383
SUV,Basic,Offer3,Employed,Married,College,2.0,110.0,365.361427,53105.0,25900.19716
Four-Door Car,Extended,Offer3,Employed,Married,Bachelor,2.0,94.0,451.2,65448.0,11269.23099
Four-Door Car,Extended,Offer1,Unemployed,Single,High School or Below,1.0,77.0,554.4,0.0,2897.494724
Luxury SUV,Basic,Offer1,Employed,Single,High School or Below,1.0,196.0,798.002689,63786.0,7778.532347
Two-Door Car,Basic,Offer2,Retired,Married,Bachelor,5.0,72.0,345.6,19651.0,5595.971365
Four-Door Car,Basic,Offer1,Employed,Married,Bachelor,2.0,61.0,292.8,33089.0,7356.383518
Four-Door Car,Premium,Offer1,Unemployed,Single,Bachelor,1.0,104.0,748.8,0.0,3491.741616
Two-Door Car,Basic,Offer1,Employed,Single,Bachelor,5.0,72.0,440.128707,39841.0,5646.323845
Four-Door Car,Basic,Offer1,Unemployed,Single,High School or Below,7.0,63.0,669.682001,0.0,3688.110888
Four-Door Car,Basic,Offer1,Unemployed,Married,High School or Below,2.0,69.0,331.2,0.0,7589.634
Four-Door Car,Premium,Offer1,Employed,Married,High School or Below,2.0,103.0,384.01403,46396.0,12244.9049
Four-Door Car,Basic,Offer1,Disabled,Divorced,Bachelor,1.0,64.0,307.2,25772.0,2333.609334
Sports Car,Extended,Offer1,Unemployed,Divorced,High School or Below,1.0,133.0,957.6,0.0,4983.114656
Two-Door Car,Basic,Offer2,Employed,Married,Bachelor,1.0,71.0,340.8,26790.0,2810.464447
Four-Door Car,Basic,Offer2,Employed,Married,Doctor,6.0,72.0,345.6,66156.0,5762.472144
Four-Door Car,Extended,Offer2,Employed,Married,College,6.0,78.0,136.787725,75680.0,6242.595729
Sports Car,Extended,Offer2,Unemployed,Single,College,8.0,121.0,871.2,0.0,8510.525936
Luxury Car,Basic,Offer3,Unemployed,Single,High School or Below,1.0,191.0,2042.569089,0.0,6758.807188
Four-Door Car,Basic,Offer1,Employed,Married,High School or Below,2.0,68.0,64.646458,41701.0,8113.962284
Four-Door Car,Basic,Offer2,Employed,Single,College,7.0,74.0,5.746657,60689.0,5799.826802
Four-Door Car,Extended,Offer3,Medical Leave,Single,Master,2.0,99.0,475.2,27229.0,18745.39592
Four-Door Car,Basic,Offer3,Employed,Single,High School or Below,3.0,71.0,23.89816,77912.0,5623.757656
Four-Door Car,Extended,Offer3,Employed,Single,College,2.0,88.0,253.056709,88233.0,10439.49667
Four-Door Car,Basic,Offer2,Employed,Married,College,2.0,62.0,76.609295,84302.0,7425.845305
Four-Door Car,Premium,Offer1,Employed,Married,Bachelor,2.0,112.0,537.6,48804.0,13057.17071
SUV,Extended,Offer1,Employed,Single,Bachelor,9.0,135.0,526.248798,89892.0,10954.38352
Four-Door Car,Basic,Offer2,Employed,Married,Master,1.0,69.0,56.60333,36650.0,2725.356404
Four-Door Car,Basic,Offer2,Employed,Single,High School or Below,3.0,71.0,340.8,74454.0,5595.389905
SUV,Basic,Offer1,Disabled,Married,High School or Below,2.0,113.0,542.4,18495.0,26197.41498
Four-Door Car,Premium,Offer2,Employed,Single,High School or Below,3.0,109.0,371.206205,52440.0,8556.58016
SUV,Basic,Offer2,Employed,Married,High School or Below,2.0,103.0,613.866905,78441.0,12375.02163
SUV,Premium,Offer2,Employed,Single,College,9.0,156.0,430.505942,52135.0,12275.34309
SUV,Basic,Offer1,Unemployed,Divorced,College,4.0,113.0,373.073162,0.0,8231.223361
Two-Door Car,Extended,Offer4,Employed,Single,College,2.0,86.0,93.309811,76276.0,10110.76997
Sports Car,Extended,Offer1,Employed,Married,College,1.0,127.0,492.770321,94415.0,5113.874718
Four-Door Car,Extended,Offer4,Unemployed,Single,College,2.0,88.0,633.6,0.0,9575.7578
Four-Door Car,Basic,Offer1,Employed,Married,Bachelor,2.0,62.0,79.893853,44485.0,7505.768149
Four-Door Car,Basic,Offer1,Employed,Married,High School or Below,1.0,63.0,302.4,61402.0,2506.021971
SUV,Extended,Offer1,Employed,Married,High School or Below,8.0,125.0,600.0,56379.0,9934.865795
Luxury SUV,Extended,Offer1,Employed,Married,College,4.0,222.0,1253.984948,25771.0,17723.76398
Luxury Car,Basic,Offer3,Unemployed,Single,College,1.0,182.0,1310.4,0.0,6141.961623
Four-Door Car,Extended,Offer1,Employed,Married,Bachelor,1.0,94.0,24.04838,58300.0,3758.950734
Sports Car,Extended,Offer4,Employed,Married,Bachelor,1.0,133.0,482.328161,83771.0,5358.269985
Two-Door Car,Basic,Offer1,Employed,Married,College,3.0,62.0,29.035528,54189.0,4991.035369
Sports Car,Basic,Offer2,Employed,Married,High School or Below,2.0,109.0,523.2,20090.0,34611.37896
SUV,Basic,Offer3,Unemployed,Single,High School or Below,1.0,114.0,820.8,0.0,4002.857594
Four-Door Car,Extended,Offer3,Employed,Married,College,3.0,82.0,183.104441,48638.0,6470.535463
SUV,Basic,Offer2,Employed,Married,College,1.0,108.0,112.660916,75648.0,4349.30875
Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,3.0,62.0,2.96438,21907.0,4916.577034
Four-Door Car,Basic,Offer2,Employed,Married,College,2.0,70.0,224.904234,22784.0,19338.5293
Two-Door Car,Extended,Offer4,Medical Leave,Single,High School or Below,1.0,92.0,441.6,13512.0,3185.17031
SUV,Extended,Offer1,Employed,Divorced,High School or Below,1.0,129.0,619.2,55645.0,5154.051492
Four-Door Car,Basic,Offer4,Employed,Married,Bachelor,1.0,72.0,302.942519,56218.0,2781.446975
Four-Door Car,Basic,Offer1,Employed,Married,College,1.0,68.0,94.845076,58729.0,2642.932059
SUV,Extended,Offer1,Unemployed,Single,High School or Below,1.0,121.0,871.2,0.0,4354.398727
Two-Door Car,Extended,Offer2,Employed,Single,Bachelor,2.0,91.0,236.63519,36800.0,25401.51859
Sports Car,Premium,Offer1,Employed,Married,Bachelor,2.0,192.0,151.711475,78310.0,67907.2705
Four-Door Car,Extended,Offer4,Employed,Divorced,College,1.0,78.0,357.757645,88782.0,3118.927949
Two-Door Car,Basic,Offer2,Employed,Married,College,3.0,61.0,121.88814,88079.0,4864.382304
Four-Door Car,Basic,Offer3,Medical Leave,Single,High School or Below,1.0,62.0,219.288706,16618.0,2272.335352
Four-Door Car,Extended,Offer3,Unemployed,Single,High School or Below,4.0,84.0,847.490817,0.0,5658.912313
Four-Door Car,Extended,Offer1,Employed,Married,High School or Below,7.0,91.0,40.536151,41951.0,7243.865476
Four-Door Car,Extended,Offer3,Employed,Divorced,High School or Below,1.0,98.0,470.4,35970.0,3895.961837
Four-Door Car,Basic,Offer1,Disabled,Married,High School or Below,4.0,72.0,345.6,19724.0,5584.961718
Four-Door Car,Premium,Offer2,Employed,Divorced,Bachelor,1.0,111.0,60.036683,63774.0,4376.363592
Two-Door Car,Basic,Offer1,Employed,Married,Bachelor,2.0,64.0,307.2,55843.0,7690.159642
Four-Door Car,Basic,Offer3,Employed,Married,High School or Below,1.0,69.0,255.946801,34865.0,2734.149158
Four-Door Car,Basic,Offer2,Employed,Married,College,1.0,66.0,316.8,46900.0,2580.849899
SUV,Basic,Offer4,Employed,Married,High School or Below,7.0,106.0,508.8,79153.0,8500.909417
Sports Car,Basic,Offer1,Unemployed,Divorced,College,7.0,109.0,605.137484,0.0,6860.592636
Four-Door Car,Extended,Offer1,Retired,Divorced,College,6.0,86.0,412.8,18577.0,6273.911874
Two-Door Car,Extended,Offer4,Employed,Married,Bachelor,3.0,92.0,621.617047,21835.0,7123.082388
Four-Door Car,Basic,Offer1,Unemployed,Divorced,Doctor,2.0,67.0,321.6,0.0,7294.846132
SUV,Basic,Offer4,Employed,Single,High School or Below,1.0,108.0,406.348084,31842.0,4110.620178
Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,1.0,64.0,164.328953,79297.0,2569.692441
Four-Door Car,Basic,Offer4,Retired,Married,Bachelor,1.0,71.0,340.8,21959.0,2691.380574
Sports Car,Extended,Offer1,Employed,Divorced,High School or Below,3.0,133.0,638.4,28363.0,10455.48983
Two-Door Car,Basic,Offer2,Employed,Married,Master,3.0,63.0,94.030308,89879.0,5123.170887
Four-Door Car,Extended,Offer4,Employed,Married,College,1.0,89.0,238.132215,26884.0,3531.039178
Four-Door Car,Extended,Offer2,Employed,Single,Doctor,1.0,96.0,460.8,36633.0,3757.804716
Four-Door Car,Basic,Offer2,Medical Leave,Married,High School or Below,1.0,61.0,355.028632,28646.0,2393.036297
Four-Door Car,Basic,Offer2,Unemployed,Married,High School or Below,9.0,70.0,336.0,0.0,5201.707743
Four-Door Car,Basic,Offer1,Employed,Married,Bachelor,5.0,62.0,353.77899,33305.0,4908.207958
Four-Door Car,Basic,Offer2,Employed,Married,High School or Below,3.0,63.0,302.4,24398.0,4880.94644
Two-Door Car,Premium,Offer4,Employed,Single,High School or Below,1.0,107.0,513.6,66331.0,4297.189057
SUV,Premium,Offer1,Disabled,Divorced,Master,8.0,181.0,1261.319869,16181.0,13736.1325
Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,1.0,73.0,369.918482,75685.0,2927.07045
Four-Door Car,Basic,Offer1,Employed,Married,Master,2.0,73.0,172.226165,33291.0,8723.667123
Two-Door Car,Premium,Offer3,Disabled,Married,College,1.0,110.0,639.769748,17572.0,4318.433036
Four-Door Car,Basic,Offer1,Unemployed,Single,Bachelor,1.0,73.0,554.376763,0.0,2450.190996
Four-Door Car,Extended,Offer1,Unemployed,Divorced,Master,2.0,99.0,475.2,0.0,8689.822524
SUV,Extended,Offer1,Unemployed,Single,Bachelor,3.0,138.0,1376.958592,0.0,9029.940704
Two-Door Car,Extended,Offer3,Employed,Divorced,College,2.0,86.0,324.879569,71467.0,20446.6023
Luxury SUV,Extended,Offer2,Employed,Divorced,Master,7.0,239.0,1294.700423,22705.0,19160.98994
SUV,Basic,Offer2,Employed,Married,High School or Below,1.0,106.0,218.598065,74585.0,4222.631209
Sports Car,Extended,Offer2,Medical Leave,Married,Doctor,2.0,134.0,346.319404,14278.0,25626.70699
Two-Door Car,Basic,Offer3,Employed,Divorced,Bachelor,2.0,74.0,262.984836,80409.0,26113.36
Four-Door Car,Basic,Offer1,Employed,Married,College,1.0,61.0,351.149904,51808.0,2417.759961
Four-Door Car,Extended,Offer1,Unemployed,Divorced,Bachelor,3.0,79.0,379.2,0.0,5841.528134
Four-Door Car,Basic,Offer2,Employed,Married,High School or Below,8.0,69.0,427.874055,40376.0,5421.018201
Four-Door Car,Basic,Offer3,Unemployed,Single,High School or Below,1.0,68.0,489.6,0.0,2448.859093
Two-Door Car,Extended,Offer2,Medical Leave,Single,High School or Below,7.0,93.0,944.854655,21616.0,6608.165971
Four-Door Car,Premium,Offer1,Employed,Single,High School or Below,2.0,103.0,494.4,57449.0,12157.32992
Four-Door Car,Basic,Offer1,Retired,Single,Bachelor,1.0,67.0,321.6,19581.0,2342.01381
Four-Door Car,Basic,Offer2,Employed,Divorced,Bachelor,3.0,67.0,321.6,73775.0,5398.098108
Four-Door Car,Basic,Offer1,Disabled,Married,College,2.0,73.0,206.863422,20819.0,8168.714346
Two-Door Car,Basic,Offer3,Employed,Divorced,Master,2.0,73.0,119.062347,91015.0,14663.19646
Four-Door Car,Extended,Offer2,Employed,Married,High School or Below,1.0,92.0,388.135527,31974.0,3723.114445
Two-Door Car,Basic,Offer4,Employed,Single,College,2.0,70.0,27.145151,88440.0,24980.22553
Four-Door Car,Basic,Offer2,Employed,Married,Bachelor,3.0,65.0,288.572108,35625.0,5107.163002
SUV,Premium,Offer1,Employed,Married,Bachelor,1.0,173.0,830.4,65337.0,6897.505859
Four-Door Car,Basic,Offer1,Retired,Married,Bachelor,2.0,67.0,404.817249,23665.0,22658.53652
Two-Door Car,Basic,Offer3,Disabled,Single,High School or Below,1.0,62.0,297.6,24400.0,2311.211287
Four-Door Car,Premium,Offer1,Employed,Married,Bachelor,1.0,118.0,32.83059,63977.0,4737.841289
Four-Door Car,Premium,Offer1,Employed,Single,College,1.0,110.0,74.744643,97321.0,4369.496687
Sports Car,Premium,Offer3,Employed,Married,High School or Below,2.0,187.0,1053.300143,68906.0,30118.6554
Four-Door Car,Basic,Offer1,Employed,Divorced,Bachelor,9.0,69.0,331.2,67798.0,5548.031892
Four-Door Car,Basic,Offer2,Employed,Married,Master,3.0,67.0,302.733593,69468.0,5453.709172
Four-Door Car,Basic,Offer1,Employed,Single,Bachelor,9.0,72.0,345.6,36088.0,5528.212807
Luxury SUV,Basic,Offer4,Unemployed,Single,High School or Below,1.0,199.0,955.2,0.0,6743.119265
Four-Door Car,Basic,Offer2,Employed,Married,Master,3.0,74.0,355.2,49311.0,6010.502178
Four-Door Car,Basic,Offer2,Employed,Married,High School or Below,4.0,73.0,281.295903,81082.0,5838.89915
Four-Door Car,Extended,Offer1,Employed,Single,High School or Below,8.0,76.0,364.8,26876.0,6005.214792
Four-Door Car,Basic,Offer3,Unemployed,Married,Bachelor,7.0,72.0,345.6,0.0,5527.988928
Four-Door Car,Extended,Offer1,Employed,Single,Bachelor,1.0,88.0,460.815578,33701.0,3241.838403
Two-Door Car,Basic,Offer2,Disabled,Divorced,Doctor,1.0,63.0,333.696228,21986.0,2395.57
Four-Door Car,Basic,Offer3,Employed,Married,College,1.0,67.0,124.933587,80985.0,2707.20846
Four-Door Car,Basic,Offer2,Employed,Divorced,Bachelor,1.0,74.0,48.181699,64431.0,2941.828805
SUV,Extended,Offer2,Unemployed,Married,High School or Below,1.0,126.0,694.357961,0.0,4715.469193
Sports Car,Basic,Offer1,Employed,Divorced,Bachelor,2.0,103.0,494.4,35693.0,12265.60041
Four-Door Car,Basic,Offer4,Employed,Married,Bachelor,7.0,66.0,316.8,31562.0,4956.620638
Four-Door Car,Basic,Offer1,Employed,Married,Bachelor,2.0,63.0,302.4,45963.0,14914.53488
Two-Door Car,Premium,Offer2,Employed,Married,College,2.0,106.0,508.8,33746.0,12504.49422
SUV,Basic,Offer3,Medical Leave,Married,College,6.0,114.0,547.2,20225.0,8269.075366
Four-Door Car,Basic,Offer1,Employed,Divorced,College,9.0,62.0,102.466444,39429.0,4860.910322
Four-Door Car,Extended,Offer1,Unemployed,Single,College,2.0,78.0,561.6,0.0,22448.68617
Four-Door Car,Basic,Offer2,Employed,Single,College,2.0,68.0,12.394834,64388.0,16172.94049
Four-Door Car,Extended,Offer2,Employed,Single,High School or Below,2.0,78.0,374.4,24213.0,24709.59957
SUV,Basic,Offer2,Employed,Married,Bachelor,1.0,100.0,475.20088,52801.0,3981.775889
Four-Door Car,Basic,Offer2,Medical Leave,Single,College,9.0,63.0,302.4,22571.0,4605.036646
SUV,Basic,Offer2,Employed,Married,High School or Below,8.0,114.0,547.2,77603.0,9191.672825
SUV,Basic,Offer4,Medical Leave,Married,Bachelor,1.0,118.0,566.4,25261.0,4517.908834
Two-Door Car,Extended,Offer1,Employed,Married,College,3.0,91.0,340.32278,59414.0,7288.297591
Two-Door Car,Basic,Offer1,Employed,Divorced,Bachelor,1.0,66.0,225.578841,78618.0,2619.337376
Four-Door Car,Basic,Offer3,Employed,Married,College,2.0,62.0,161.419528,58042.0,7425.870642
Four-Door Car,Basic,Offer1,Medical Leave,Married,Bachelor,1.0,62.0,297.6,22932.0,2346.675378
SUV,Extended,Offer1,Employed,Single,High School or Below,3.0,129.0,59.526095,46667.0,10103.65572
Four-Door Car,Basic,Offer3,Employed,Married,College,6.0,66.0,316.8,67899.0,5292.202092
SUV,Basic,Offer1,Employed,Divorced,High School or Below,6.0,104.0,117.959654,28937.0,7858.109763
Luxury SUV,Basic,Offer3,Employed,Married,Bachelor,3.0,193.0,926.4,40269.0,15304.51777
Four-Door Car,Basic,Offer3,Unemployed,Single,Bachelor,3.0,74.0,532.8,0.0,5295.625697
Two-Door Car,Extended,Offer3,Employed,Single,Master,2.0,94.0,451.2,52651.0,29874.74493
SUV,Extended,Offer1,Unemployed,Married,College,5.0,136.0,979.2,0.0,9783.628981
Two-Door Car,Premium,Offer4,Medical Leave,Married,Master,1.0,116.0,556.8,24046.0,4419.116971
Two-Door Car,Premium,Offer1,Employed,Single,Bachelor,2.0,118.0,715.252366,88854.0,14042.103
SUV,Extended,Offer2,Employed,Married,Doctor,1.0,125.0,600.0,57709.0,5073.282126
SUV,Basic,Offer2,Employed,Single,College,1.0,110.0,700.004018,90893.0,4349.104278
SUV,Basic,Offer1,Medical Leave,Married,High School or Below,8.0,116.0,804.130779,13908.0,8558.038795
SUV,Extended,Offer3,Employed,Married,College,5.0,139.0,778.463303,30720.0,10018.66117
SUV,Basic,Offer3,Employed,Married,College,1.0,109.0,779.052276,91761.0,4339.871053
Four-Door Car,Basic,Offer2,Employed,Married,High School or Below,1.0,72.0,231.969205,46267.0,2895.522489
Four-Door Car,Premium,Offer2,Employed,Married,College,1.0,110.0,528.0,58842.0,4362.931238
Four-Door Car,Extended,Offer3,Employed,Married,College,2.0,78.0,95.816516,51056.0,21850.84002
Two-Door Car,Basic,Offer2,Employed,Married,High School or Below,1.0,65.0,178.408186,92038.0,2562.604728
Four-Door Car,Extended,Offer1,Unemployed,Single,Bachelor,4.0,83.0,597.6,0.0,5801.828142
Two-Door Car,Basic,Offer1,Employed,Divorced,College,6.0,65.0,468.0,43906.0,5157.053124
SUV,Basic,Offer2,Employed,Divorced,College,1.0,111.0,343.98412,91653.0,4397.781207
SUV,Basic,Offer3,Employed,Married,College,9.0,113.0,370.285349,63878.0,9120.065162
Four-Door Car,Basic,Offer4,Employed,Married,High School or Below,3.0,73.0,287.332253,71401.0,5908.7518
SUV,Basic,Offer2,Medical Leave,Married,High School or Below,2.0,100.0,480.0,28513.0,15114.40241
Four-Door Car,Basic,Offer2,Employed,Married,Master,3.0,69.0,176.819414,68197.0,5553.295758
Two-Door Car,Extended,Offer4,Employed,Married,College,1.0,84.0,403.2,26140.0,3269.013926
Two-Door Car,Extended,Offer2,Retired,Married,Master,2.0,85.0,574.024018,19614.0,16301.9676
Four-Door Car,Basic,Offer2,Employed,Married,Master,2.0,73.0,137.195447,53228.0,8849.689719
Four-Door Car,Basic,Offer2,Employed,Single,High School or Below,3.0,71.0,340.8,74454.0,5595.389905
Sports Car,Basic,Offer1,Disabled,Married,College,2.0,102.0,220.038588,19851.0,11658.59927
Sports Car,Basic,Offer1,Employed,Married,Bachelor,5.0,111.0,406.48025,95351.0,8940.579278
Four-Door Car,Basic,Offer4,Unemployed,Married,Bachelor,1.0,64.0,307.2,0.0,2316.796105
SUV,Basic,Offer2,Unemployed,Single,High School or Below,5.0,105.0,914.538629,0.0,7602.663689
Luxury Car,Basic,Offer3,Employed,Single,College,2.0,187.0,897.6,37553.0,22217.96796
Two-Door Car,Basic,Offer4,Medical Leave,Married,College,1.0,68.0,623.223617,16244.0,2523.959554
Four-Door Car,Extended,Offer1,Unemployed,Single,High School or Below,4.0,89.0,941.347502,0.0,6162.369756
SUV,Basic,Offer3,Employed,Single,High School or Below,2.0,111.0,532.8,84311.0,13117.52215
Four-Door Car,Basic,Offer2,Unemployed,Married,High School or Below,2.0,61.0,292.8,0.0,6514.954043
Four-Door Car,Basic,Offer3,Employed,Single,High School or Below,3.0,64.0,132.543257,73180.0,5139.561422
Four-Door Car,Basic,Offer2,Employed,Married,College,5.0,72.0,230.241775,69451.0,5715.787663
Sports Car,Premium,Offer2,Employed,Married,High School or Below,7.0,141.0,232.242326,62935.0,11314.24394
Four-Door Car,Basic,Offer3,Employed,Married,Bachelor,1.0,64.0,131.813652,63546.0,2541.523959
Two-Door Car,Basic,Offer2,Employed,Married,College,1.0,74.0,355.2,59855.0,2771.663013
